DAMAGE,STRUCTURETYPE,dnbr,dndvi,Slope,Wind,NLCD,Longitude,Latitude,Damage_Code
Destroyed (>50%),Utility Misc Structure,0.1700000,0.1800000,17.8199997,3.5999999,2,-118.618824763775180,34.042563415522089,1
Destroyed (>50%),Utility Misc Structure,0.2100000,0.2800000,23.6499996,3.5999999,2,-118.618491780757182,34.042651984340758,1
No Damage,Single Family Residence Multi Story,0.1300000,0.0600000,22.0699997,3.5999999,2,-118.619234028133761,34.042697837087459,2
No Damage,Utility Misc Structure,0.1800000,0.1400000,20.8600006,3.5999999,2,-118.619569775267806,34.042718655417261,2
Destroyed (>50%),Single Family Residence Multi Story,0.1100000,0.0500000,18.6399994,3.6500001,3,-118.643517016501164,34.040943431546175,1
Destroyed (>50%),Single Family Residence Single Story,0.2200000,0.2300000,16.7000008,3.5999999,2,-118.622043734661958,34.042420429824489,1
Destroyed (>50%),Single Family Residence Multi Story,0.1300000,0.0800000,11.9399996,3.7900000,2,-118.643179595805748,34.041428031384193,1
Affected (1-9%),Single Family Residence Single Story,0.1200000,0.1200000,14.1899996,3.6500001,3,-118.643933901268340,34.041053545074277,1
Destroyed (>50%),Single Family Residence Multi Story,0.0500000,0.0800000,17.5300007,3.7900000,2,-118.642178086553358,34.041017175550543,1
No Damage,Single Family Residence Multi Story,0.0400000,-0.0100000,23.2500000,3.3699999,2,-118.641688105871481,34.040591675752530,2
Destroyed (>50%),Single Family Residence Single Story,0.0500000,0.0600000,13.9700003,3.5999999,2,-118.622355553371833,34.042964779971932,1
Destroyed (>50%),Utility Misc Structure,0.0400000,0.0400000,14.6599998,3.5999999,2,-118.622456867166193,34.043070415787675,1
No Damage,Single Family Residence Single Story,0.0100000,-0.0300000,16.8400002,3.8099999,2,-118.622546912493618,34.043615777807062,2
No Damage,Multi Family Residence Multi Story,0.0300000,-0.0600000,12.1499996,3.1400001,3,-118.656489631536644,34.039254182170609,2
No Damage,Multi Family Residence Multi Story,-0.0300000,-0.0500000,13.0699997,3.1400001,3,-118.656666999397856,34.039229893374667,2
No Damage,Multi Family Residence Multi Story,-0.0400000,-0.0900000,12.1499996,3.1400001,3,-118.656258150959204,34.039200623092235,2
Destroyed (>50%),Single Family Residence Single Story,0.1100000,0.0900000,17.6700001,3.5999999,2,-118.621782800123086,34.042916414408154,1
No Damage,Single Family Residence Single Story,0.0300000,0.0200000,10.8999996,3.8099999,2,-118.621760989027948,34.043518160122709,2
Destroyed (>50%),Single Family Residence Single Story,0.0700000,0.0100000,17.5100002,3.8099999,2,-118.621139844433202,34.043460354953694,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.0900000,18.7000008,3.5999999,2,-118.621411194039510,34.043138572275176,1
No Damage,Single Family Residence Multi Story,0.0800000,0.1200000,20.6499996,3.7900000,2,-118.642028230495995,34.040838185368841,2
Destroyed (>50%),Single Family Residence Single Story,0.1500000,0.1700000,9.5100002,3.8099999,2,-118.620917080209068,34.044010148564844,1
No Damage,Utility Misc Structure,0.0500000,0.0300000,4.0000000,3.8099999,2,-118.620774345995301,34.044235408246813,2
No Damage,Single Family Residence Multi Story,0.0500000,0.0100000,3.9600000,3.8099999,2,-118.620597032931201,34.044034947360863,2
No Damage,Utility Misc Structure,-0.0200000,0.0300000,3.0300000,3.8099999,2,-118.620344550640823,34.044343550188721,2
Destroyed (>50%),Single Family Residence Multi Story,0.1300000,0.1300000,20.1700001,3.3699999,2,-118.641402898853656,34.040157310429798,1
No Damage,Single Family Residence Single Story,-0.0500000,0.0200000,15.5500002,3.3699999,2,-118.641119050986802,34.040052125805275,2
No Damage,Single Family Residence Multi Story,0.0400000,0.0300000,14.8999996,2.9100001,2,-118.640885126093579,34.040361219531206,2
Affected (1-9%),Single Family Residence Single Story,0.0700000,-0.0100000,18.3899994,3.3699999,2,-118.641016078004142,34.040209940656702,1
Destroyed (>50%),Single Family Residence Multi Story,0.0100000,-0.0500000,14.8999996,2.9100001,2,-118.640723561394722,34.040171620483186,1
Destroyed (>50%),Single Family Residence Multi Story,0.0700000,0.0900000,18.7199993,3.3699999,2,-118.641748427742883,34.040228419997547,1
Destroyed (>50%),Single Family Residence Multi Story,0.0500000,0.0700000,18.7199993,3.3699999,2,-118.641591012362355,34.040201290909408,1
Destroyed (>50%),Single Family Residence Multi Story,0.0600000,0.0400000,15.2100000,3.8099999,2,-118.620709855940987,34.043610178027933,1
Destroyed (>50%),Single Family Residence Multi Story,0.0500000,0.0200000,8.7799997,3.8099999,2,-118.621210645152317,34.043972596045990,1
Destroyed (>50%),Utility Misc Structure,0.1400000,0.2000000,6.8299999,3.8099999,2,-118.621252541678857,34.044129965924483,1
Destroyed (>50%),Single Family Residence Single Story,0.0600000,0.0300000,8.7600002,3.8099999,2,-118.619780917088860,34.044085913791427,1
Affected (1-9%),Single Family Residence Multi Story,0.0900000,0.0400000,12.1300001,2.9100001,2,-118.640123776042486,34.040089071152778,1
Destroyed (>50%),Single Family Residence Multi Story,0.0100000,-0.0800000,11.3100004,2.9100001,2,-118.640319419229868,34.040025581748239,1
No Damage,Multi Family Residence Multi Story,0.0100000,-0.0300000,7.8899999,3.1400001,3,-118.655868676486364,34.039270435241278,2
No Damage,Multi Family Residence Multi Story,0.0500000,0.0000000,15.4399996,3.1400001,3,-118.655471956202391,34.039326532652787,2
No Damage,Multi Family Residence Multi Story,-0.0300000,-0.0700000,7.5200000,3.1400001,3,-118.654968230398410,34.039087665805638,2
Major (26-50%),Single Family Residence Multi Story,0.0300000,-0.0400000,2.5999999,3.0100000,3,-118.652165301658954,34.038172319449281,1
Destroyed (>50%),Single Family Residence Multi Story,-0.1000000,-0.1300000,2.5999999,2.9800000,3,-118.651894269157950,34.038168089010966,1
Destroyed (>50%),Single Family Residence Multi Story,0.0400000,-0.0400000,2.5999999,2.9800000,3,-118.652032615999900,34.038157673333004,1
Destroyed (>50%),Single Family Residence Multi Story,0.0600000,-0.0200000,2.5999999,2.9800000,1,-118.651779709704698,34.038126607925648,1
Destroyed (>50%),Utility Misc Structure,0.0900000,0.1100000,2.5999999,2.9800000,1,-118.651630374670191,34.038170836599882,1
Destroyed (>50%),Single Family Residence Multi Story,0.0300000,-0.0300000,2.5999999,2.9800000,1,-118.651664176477738,34.038080708043488,1
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.0300000,2.5999999,2.9800000,3,-118.651520621203758,34.038079681511604,1
No Damage,School,0.1500000,0.1600000,9.7500000,2.1500001,2,-118.638710354198025,34.045388260909895,2
No Damage,School,0.3000000,0.3400000,4.9299998,2.1500001,2,-118.638772105288979,34.045556683062230,2
No Damage,Single Family Residence Single Story,0.1300000,0.1200000,2.7100000,3.0999999,3,-118.636845925080394,34.037691112624721,2
No Damage,Utility Misc Structure,0.0900000,0.1000000,5.5799999,3.0999999,2,-118.636741050364222,34.037652759303818,2
Destroyed (>50%),Single Family Residence Single Story,0.1000000,0.0600000,2.0999999,3.8099999,2,-118.621428079671929,34.044886321893664,1
Destroyed (>50%),Single Family Residence Single Story,0.0200000,0.1100000,4.6900001,3.8099999,2,-118.620733610092017,34.044614522991374,1
Destroyed (>50%),Single Family Residence Multi Story,0.0800000,0.1500000,4.1100001,3.8099999,2,-118.620614806997395,34.045075580658356,1
No Damage,Single Family Residence Multi Story,0.1900000,0.1500000,1.6700000,3.8099999,2,-118.620165858662816,34.044635828397041,2
Destroyed (>50%),Single Family Residence Single Story,0.1000000,0.0900000,20.8099995,3.8099999,2,-118.619533086274998,34.043633383278149,1
Destroyed (>50%),Utility Misc Structure,0.1100000,0.1300000,17.9300003,3.8099999,2,-118.619320091229540,34.043762011335453,1
Affected (1-9%),Single Family Residence Multi Story,0.1700000,0.2800000,11.7299995,3.0999999,2,-118.637465956662552,34.038990903430083,1
Destroyed (>50%),Single Family Residence Single Story,0.1900000,0.2600000,11.7299995,3.0999999,2,-118.637379739954838,34.038770071635568,1
Destroyed (>50%),Multi Family Residence Single Story,0.1400000,0.1800000,12.3900003,3.0999999,2,-118.637256055414923,34.038676597647616,1
